title; artist; popularity
True Colors; Cyndi Lauper; 87
Wake Me Up Before You Go Go; Wham!; 92
Careless Whisper - Remastered; George Michael; 97
Faith - Remastered; George Michael; 84
Father Figure - Remastered; George Michael; 85
I Wanna Dance with Somebody (Who Loves Me); Whitney Houston; 75
How Will I Know; Whitney Houston; 86
Saving All My Love for You; Whitney Houston; 84
Another One Bites The Dust - Remastered 2011; Queen; 93
Under Pressure - Remastered 2011; Queen; 91
Radio Ga Ga - Remastered 2011; Queen; 90
I Want To Break Free - Single Remix; Queen; 54
Let's Dance - 2018 Remaster; David Bowie; 49
Modern Love - 2018 Remaster; David Bowie; 48
Ashes to Ashes - 2017 Remaster; David Bowie; 45
Born in the U.S.A.; Bruce Springsteen; 80
Dancing In the Dark; Bruce Springsteen; 92
I'm On Fire; Bruce Springsteen; 87
Glory Days; Bruce Springsteen; 84
Money For Nothing - Remastered 1996; Dire Straits; 89
Walk Of Life - Remastered 1996; Dire Straits; 89
Brothers In Arms - Remastered 1996; Dire Straits; 88
Romeo And Juliet; Dire Straits; 83
Africa; TOTO; 96
Rosanna; TOTO; 87
Eye of the Tiger; Survivor; 95
Summer Of '69; Bryan Adams; 75
Heaven; Bryan Adams; 89
Run To You; Bryan Adams; 85
In The Air Tonight - 2015 Remastered; Phil Collins; 62
Against All Odds (Take a Look at Me Now) - 2016 Remaster; Phil Collins; 49
Easy Lover; Philip Bailey; 84
You Can't Hurry Love - 2016 Remaster; Phil Collins; 45
Sussudio - 2016 Remaster; Phil Collins; 48
Invisible Touch - 2007 Remaster; Genesis; 46
Land of Confusion - 2007 Remaster; Genesis; 47
Everybody Wants To Rule The World; Tears For Fears; 95
Shout; Tears For Fears; 89
Head Over Heels - Dave Bascombe 7 N.Mix; Tears For Fears; 62
Mad World; Tears For Fears; 84
Should I Stay or Should I Go - Remastered; The Clash; 70
Rock the Casbah - Remastered; The Clash; 77
Pour Some Sugar On Me - Remastered 2017; Def Leppard; 87
Photograph; Def Leppard; 79
Animal; Def Leppard; 79
Jump - 2015 Remaster; Van Halen; 64
Panama - 2015 Remaster; Van Halen; 48
Hot for Teacher - 2015 Remaster; Van Halen; 47
Walk This Way (feat. Aerosmith); Run–D.M.C.; 71
Dude (Looks Like A Lady); Aerosmith; 76
Love In An Elevator - Single Version; Aerosmith; 48
Janie's Got A Gun; Aerosmith; 72
Danger Zone - From Top Gun Original Soundtrack; Kenny Loggins; 51
Footloose; Kenny Loggins; 87
Ghostbusters; Ray Parker Jr.; 86
The Power Of Love; Huey Lewis & The News; 64
I Want to Know What Love Is - 1999 Remaster; Foreigner; 66
Waiting for a Girl like You; Foreigner; 74
Any Way You Want It; Journey; 84
Separate Ways (Worlds Apart) [2023 Remaster]; Journey; 51
Open Arms (2022 Remaster); Journey; 84
Here I Go Again - 1987 Version / 2018 Remaster; Whitesnake; 51
Is This Love - 2018 Remaster; Whitesnake; 52
